trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
150,False,"{'a': 0.5, 'e': 0.47147873742168567}",25,17,-9.140587295959717,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
151,False,"{'a': 0.5, 'e': 0.46912134373457726}",25,9,-25.77547922107452,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 1}",1
152,False,"{'a': 0.5, 'e': 0.46677573701590436}",25,12,-26.367778107737173,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 1}",1
153,False,"{'a': 0.5, 'e': 0.46444185833082485}",25,3,-49.49458890821415,"{0: 17, 1: 0, 2: 4, 3: 0, 4: 1}",1
154,False,"{'a': 0.5, 'e': 0.46211964903917074}",30,17,-38.238237449518515,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 1}",1
155,False,"{'a': 0.5, 'e': 0.4598090507939749}",25,1,-221.80030986207004,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 5}",1
156,False,"{'a': 0.5, 'e': 0.457510005540005}",25,0,-47.458739277052466,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
157,False,"{'a': 0.5, 'e': 0.45522245551230495}",20,2,-16.60184439721943,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 0}",1
158,False,"{'a': 0.5, 'e': 0.4529463432347434}",25,1,-8.100055426553322,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 0}",1
159,False,"{'a': 0.5, 'e': 0.4506816115185697}",30,12,-62.28869178596023,"{0: 14, 1: 0, 2: 1, 3: 2, 4: 1}",1
160,False,"{'a': 0.5, 'e': 0.4484282034609769}",20,13,-8.454487217013515,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
161,False,"{'a': 0.5, 'e': 0.446186062443672}",25,16,-16.204126714075016,"{0: 7, 1: 0, 2: 1, 3: 1, 4: 0}",1
162,False,"{'a': 0.5, 'e': 0.4439551321314536}",25,0,-34.45621581478089,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
163,False,"{'a': 0.5, 'e': 0.4417353564707963}",25,5,-31.040178000388604,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",1
164,False,"{'a': 0.5, 'e': 0.43952667968844233}",20,0,-21.576099317317052,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
165,False,"{'a': 0.5, 'e': 0.43732904629000013}",30,7,3.59607394592824,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 0}",1
166,False,"{'a': 0.5, 'e': 0.4351424010585501}",25,5,-99.30108606727087,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",1
167,False,"{'a': 0.5, 'e': 0.43296668905325736}",30,18,-10.653288549782033,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
168,False,"{'a': 0.5, 'e': 0.43080185560799106}",25,17,-11.705077894637336,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
169,False,"{'a': 0.5, 'e': 0.4286478463299511}",25,16,17.47480711643578,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.5, 'e': 0.42650460709830135}",30,18,15.436208460708938,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.5, 'e': 0.42437208406280985}",25,0,21.246878668630792,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
172,False,"{'a': 0.5, 'e': 0.4222502236424958}",20,3,-37.42195807182355,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 1}",1
173,False,"{'a': 0.5, 'e': 0.42013897252428334}",25,8,-24.52312004104637,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 0}",1
174,False,"{'a': 0.5, 'e': 0.4180382776616619}",25,11,-114.34603551822585,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 3}",1
175,False,"{'a': 0.5, 'e': 0.4159480862733536}",20,0,-37.97775614166532,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
176,False,"{'a': 0.5, 'e': 0.41386834584198684}",20,0,-41.94155918149161,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
177,False,"{'a': 0.5, 'e': 0.4117990041127769}",20,0,-29.33638696126399,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
178,False,"{'a': 0.5, 'e': 0.40974000909221303}",25,12,-27.953461188601725,"{0: 9, 1: 2, 2: 1, 3: 1, 4: 0}",1
179,False,"{'a': 0.5, 'e': 0.40769130904675194}",20,3,-127.85786151960214,"{0: 10, 1: 1, 2: 2, 3: 2, 4: 2}",1
180,False,"{'a': 0.5, 'e': 0.40565285250151817}",20,0,-25.55719715652519,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",0
181,False,"{'a': 0.5, 'e': 0.4036245882390106}",25,3,-34.43061028706123,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 1}",1
182,False,"{'a': 0.5, 'e': 0.4016064652978155}",25,0,-4.048696857305917,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",0
